Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
Colorectal,"28,188 (0.16‰)",16.45 ± 0.10,"28,263 (0.15‰)",14.59 ± 0.09,"29,495 (0.15‰)",13.60 ± 0.08,"24,802 (0.16‰)",15.88 ± 0.11
Breast,"22,063 (0.12‰)",12.67 ± 0.09,"22,612 (0.12‰)",11.61 ± 0.08,"24,143 (0.13‰)",11.20 ± 0.07,"19,568 (0.13‰)",12.55 ± 0.09
Pancreatic,"18,970 (0.11‰)",11.04 ± 0.08,"21,671 (0.12‰)",11.09 ± 0.08,"25,063 (0.13‰)",11.27 ± 0.07,"21,760 (0.14‰)",13.31 ± 0.09
Prostate,"15,612 (0.09‰)",9.47 ± 0.08,"15,474 (0.08‰)",8.18 ± 0.07,"18,116 (0.09‰)",8.34 ± 0.06,"16,004 (0.10‰)",9.24 ± 0.08
County Economic Typology (Services),,,,,,,,
Cancer,"1,180,108 (1.81‰)",170.11 ± 0.16,"1,210,781 (1.78‰)",155.77 ± 0.14,"1,228,652 (1.74‰)",140.46 ± 0.13,"989,607 (1.75‰)",153.75 ± 0.16
Lung,"313,775 (0.48‰)",45.42 ± 0.08,"303,552 (0.45‰)",39.04 ± 0.07,"272,173 (0.39‰)",30.76 ± 0.06,"197,871 (0.35‰)",30.16 ± 0.07
Colorectal,"111,452 (0.17‰)",16.01 ± 0.05,"108,293 (0.16‰)",13.90 ± 0.04,"108,946 (0.15‰)",12.54 ± 0.04,"88,578 (0.16‰)",14.27 ± 0.05
Breast,"89,643 (0.14‰)",12.81 ± 0.04,"90,348 (0.13‰)",11.63 ± 0.04,"91,682 (0.13‰)",10.68 ± 0.04,"73,120 (0.13‰)",11.90 ± 0.05
Pancreatic,"75,639 (0.12‰)",10.88 ± 0.04,"84,860 (0.12‰)",10.86 ± 0.04,"95,521 (0.14‰)",10.82 ± 0.04,"83,402 (0.15‰)",12.85 ± 0.05
Prostate,"61,270 (0.09‰)",8.86 ± 0.04,"60,345 (0.09‰)",7.75 ± 0.03,"66,846 (0.09‰)",7.57 ± 0.03,"56,530 (0.10‰)",8.15 ± 0.04
County Economic Typology (Nonspecialized),,,,,,,,
Cancer,"652,473 (1.80‰)",178.37 ± 0.22,"686,674 (1.81‰)",166.12 ± 0.20,"709,435 (1.80‰)",152.25 ± 0.18,"588,963 (1.81‰)",170.61 ± 0.23
Lung,"186,406 (0.52‰)",50.92 ± 0.12,"185,402 (0.49‰)",44.56 ± 0.10,"171,044 (0.43‰)",36.07 ± 0.09,"127,708 (0.39‰)",36.33 ± 0.11
Colorectal,"61,159 (0.17‰)",16.75 ± 0.07,"61,575 (0.16‰)",14.94 ± 0.06,"63,802 (0.16‰)",13.84 ± 0.06,"53,475 (0.16‰)",16.02 ± 0.07
Breast,"46,569 (0.13‰)",12.56 ± 0.06,"47,777 (0.13‰)",11.53 ± 0.05,"49,471 (0.13‰)",10.79 ± 0.05,"40,924 (0.13‰)",12.33 ± 0.06
Pancreatic,"39,497 (0.11‰)",10.77 ± 0.05,"44,769 (0.12‰)",10.76 ± 0.05,"51,449 (0.13‰)",10.90 ± 0.05,"46,367 (0.14‰)",13.32 ± 0.06
Prostate,"32,266 (0.09‰)",9.12 ± 0.05,"32,225 (0.08‰)",8.02 ± 0.05,"36,504 (0.09‰)",7.97 ± 0.04,"31,888 (0.10‰)",8.74 ± 0.05
County Economic Typology (Unclassified),,,,,,,,
Cancer,,,17 (0.56‰),64.52 ± 16.44,124 (1.62‰),122.57 ± 11.67,140 (2.47‰),192.04 ± 17.32
Colorectal,,,3 (0.10‰),10.11 ± 6.21,17 (0.22‰),16.27 ± 4.20,10 (0.18‰),14.74 ± 4.99
Pancreatic,,,3 (0.10‰),12.72 ± 7.34,17 (0.22‰),14.43 ± 3.66,9 (0.16‰),13.94 ± 4.86
Lung,,,9 (0.30‰),27.28 ± 10.06,23 (0.30‰),18.84 ± 4.15,24 (0.42‰),29.27 ± 6.39
Breast,,,1 (0.03‰),2.35 ± 2.35,6 (0.08‰),7.95 ± 3.36,9 (0.16‰),14.31 ± 4.99
Prostate,,,2 (0.07‰),5.87 ± 4.54,6 (0.08‰),6.32 ± 2.66,12 (0.21‰),15.39 ± 4.61
EQI Quintile (Q1),,,,,,,,
Cancer,"108,741 (2.01‰)",176.97 ± 0.54,"113,213 (2.03‰)",165.90 ± 0.50,"116,765 (2.08‰)",155.15 ± 0.46,"95,236 (2.16‰)",180.14 ± 0.61
Lung,"32,386 (0.60‰)",51.82 ± 0.29,"32,123 (0.58‰)",46.12 ± 0.26,"29,973 (0.53‰)",38.80 ± 0.23,"22,523 (0.51‰)",41.94 ± 0.30
Colorectal,"10,815 (0.20‰)",17.74 ± 0.17,"11,022 (0.20‰)",16.31 ± 0.16,"11,533 (0.20‰)",15.58 ± 0.15,"9,395 (0.21‰)",18.49 ± 0.20
Breast,"7,229 (0.13‰)",11.88 ± 0.14,"7,369 (0.13‰)",11.06 ± 0.13,"7,486 (0.13‰)",10.36 ± 0.12,"6,314 (0.14‰)",12.58 ± 0.17
Pancreatic,"6,442 (0.12‰)",10.46 ± 0.13,"7,271 (0.13‰)",10.59 ± 0.13,"8,315 (0.15‰)",10.91 ± 0.12,"7,159 (0.16‰)",13.45 ± 0.17
Prostate,"5,848 (0.11‰)",9.76 ± 0.13,"5,731 (0.10‰)",8.46 ± 0.11,"6,338 (0.11‰)",8.28 ± 0.10,"5,372 (0.12‰)",9.24 ± 0.13
EQI Quintile (Q2),,,,,,,,
Cancer,"216,300 (2.24‰)",182.93 ± 0.40,"223,713 (2.25‰)",171.73 ± 0.37,"230,785 (2.26‰)",159.47 ± 0.34,"192,201 (2.30‰)",185.71 ± 0.45
Lung,"67,892 (0.70‰)",56.49 ± 0.22,"67,249 (0.68‰)",50.60 ± 0.20,"62,566 (0.61‰)",42.04 ± 0.17,"47,296 (0.57‰)",44.85 ± 0.22
Colorectal,"20,182 (0.21‰)",17.17 ± 0.12,"20,626 (0.21‰)",15.99 ± 0.11,"20,996 (0.21‰)",14.86 ± 0.11,"17,809 (0.21‰)",18.11 ± 0.15
Breast,"13,699 (0.14‰)",11.83 ± 0.10,"14,055 (0.14‰)",11.13 ± 0.10,"14,719 (0.14‰)",10.67 ± 0.09,"12,589 (0.15‰)",12.85 ± 0.12
Pancreatic,"12,632 (0.13‰)",10.59 ± 0.09,"14,122 (0.14‰)",10.70 ± 0.09,"16,004 (0.16‰)",10.91 ± 0.09,"14,113 (0.17‰)",13.47 ± 0.12
Prostate,"10,799 (0.11‰)",9.14 ± 0.09,"10,350 (0.10‰)",7.84 ± 0.08,"11,254 (0.11‰)",7.52 ± 0.07,"10,211 (0.12‰)",8.73 ± 0.09
EQI Quintile (Q3),,,,,,,,
Cancer,"374,361 (2.08‰)",182.82 ± 0.30,"389,002 (2.08‰)",171.05 ± 0.28,"400,465 (2.08‰)",157.56 ± 0.25,"330,349 (2.10‰)",178.28 ± 0.33
Lung,"111,415 (0.62‰)",53.95 ± 0.16,"110,933 (0.59‰)",48.13 ± 0.15,"102,773 (0.53‰)",39.51 ± 0.12,"76,489 (0.49‰)",40.61 ± 0.16
Colorectal,"35,259 (0.20‰)",17.27 ± 0.09,"34,960 (0.19‰)",15.50 ± 0.08,"35,948 (0.19‰)",14.43 ± 0.08,"30,302 (0.19‰)",17.09 ± 0.10
Breast,"25,294 (0.14‰)",12.44 ± 0.08,"25,812 (0.14‰)",11.55 ± 0.07,"26,721 (0.14‰)",10.92 ± 0.07,"22,236 (0.14‰)",12.63 ± 0.09
Pancreatic,"22,100 (0.12‰)",10.74 ± 0.07,"25,084 (0.13‰)",10.92 ± 0.07,"28,558 (0.15‰)",11.09 ± 0.07,"25,521 (0.16‰)",13.62 ± 0.09
Prostate,"18,991 (0.11‰)",9.34 ± 0.07,"18,438 (0.10‰)",8.10 ± 0.06,"20,386 (0.11‰)",7.90 ± 0.06,"17,738 (0.11‰)",8.71 ± 0.07
EQI Quintile (Q4),,,,,,,,
Cancer,"523,558 (2.01‰)",182.73 ± 0.25,"542,420 (2.00‰)",171.16 ± 0.24,"552,083 (1.98‰)",156.96 ± 0.21,"450,988 (1.97‰)",175.61 ± 0.27
Lung,"150,370 (0.58‰)",52.34 ± 0.14,"149,791 (0.55‰)",46.86 ± 0.12,"137,068 (0.49‰)",38.19 ± 0.10,"101,933 (0.45‰)",39.15 ± 0.13
Colorectal,"49,878 (0.19‰)",17.40 ± 0.08,"48,741 (0.18‰)",15.45 ± 0.07,"49,185 (0.18‰)",14.22 ± 0.07,"40,476 (0.18‰)",16.39 ± 0.09
Breast,"37,281 (0.14‰)",13.03 ± 0.07,"36,954 (0.14‰)",11.79 ± 0.06,"38,086 (0.14‰)",11.12 ± 0.06,"30,631 (0.13‰)",12.45 ± 0.07
Pancreatic,"31,895 (0.12‰)",11.09 ± 0.06,"35,754 (0.13‰)",11.20 ± 0.06,"40,045 (0.14‰)",11.26 ± 0.06,"35,063 (0.15‰)",13.55 ± 0.08
Prostate,"26,390 (0.10‰)",9.25 ± 0.06,"25,506 (0.09‰)",8.05 ± 0.05,"28,243 (0.10‰)",7.97 ± 0.05,"24,293 (0.11‰)",8.69 ± 0.06
EQI Quintile (Q5),,,,,,,,
Cancer,"1,602,802 (1.73‰)",172.41 ± 0.14,"1,658,558 (1.71‰)",158.37 ± 0.12,"1,694,153 (1.69‰)",143.82 ± 0.11,"1,374,303 (1.71‰)",157.95 ± 0.14
Lung,"429,791 (0.46‰)",46.58 ± 0.07,"419,346 (0.43‰)",40.13 ± 0.06,"379,837 (0.38‰)",31.93 ± 0.05,"278,158 (0.35‰)",31.45 ± 0.06
Colorectal,"149,130 (0.16‰)",16.00 ± 0.04,"146,395 (0.15‰)",13.94 ± 0.04,"147,889 (0.15‰)",12.62 ± 0.03,"121,200 (0.15‰)",14.38 ± 0.04
Breast,"122,018 (0.13‰)",12.88 ± 0.04,"123,513 (0.13‰)",11.68 ± 0.03,"125,710 (0.13‰)",10.78 ± 0.03,"100,172 (0.12‰)",11.96 ± 0.04
Pancreatic,"102,140 (0.11‰)",10.98 ± 0.03,"114,820 (0.12‰)",10.92 ± 0.03,"131,298 (0.13‰)",11.05 ± 0.03,"115,021 (0.14‰)",13.13 ± 0.04
Prostate,"80,524 (0.09‰)",8.83 ± 0.03,"80,021 (0.08‰)",7.76 ± 0.03,"90,418 (0.09‰)",7.73 ± 0.03,"76,951 (0.10‰)",8.38 ± 0.03
EQI Quintile (Unclassified),,,,,,,,
Cancer,330 (1.25‰),152.38 ± 8.61,450 (1.35‰),142.12 ± 6.80,563 (1.33‰),121.54 ± 5.23,520 (1.45‰),128.03 ± 5.84
Lung,76 (0.29‰),36.18 ± 4.24,94 (0.28‰),30.27 ± 3.16,107 (0.25‰),22.57 ± 2.23,92 (0.26‰),21.06 ± 2.26
Colorectal,37 (0.14‰),16.96 ± 2.86,38 (0.11‰),12.16 ± 2.00,54 (0.13‰),11.80 ± 1.63,41 (0.11‰),11.13 ± 1.82
Pancreatic,30 (0.11‰),14.49 ± 2.71,36 (0.11‰),11.18 ± 1.89,44 (0.10‰),8.85 ± 1.36,47 (0.13‰),11.42 ± 1.74
Breast,30 (0.11‰),13.66 ± 2.56,32 (0.10‰),9.96 ± 1.79,34 (0.08‰),7.38 ± 1.29,33 (0.09‰),8.32 ± 1.51
Prostate,14 (0.05‰),6.80 ± 1.85,25 (0.08‰),8.57 ± 1.73,27 (0.06‰),6.25 ± 1.22,36 (0.10‰),8.76 ± 1.51
